year,month,sum,count,period
2016,1,969549739.4699281,95811,2016_1
2016,2,1459158150.690332,116023,2016_2
2016,3,2187768557.130084,118996,2016_3
2016,4,1417683373.1101997,114068,2016_4
2016,5,1473549476.1304414,122941,2016_5
2016,6,1838145465.9095013,127310,2016_6
2016,7,1179926856.3699353,81472,2016_7
2016,8,1490964950.8904648,112778,2016_8
2016,9,1538865352.2805789,122901,2016_9
2016,10,1672184703.4601767,125959,2016_10
2016,11,1661213233.8504014,131913,2016_11
2016,12,2490444593.9304767,153094,2016_12
2017,1,1189458268.7900505,109281,2017_1
2017,2,1406049014.8400395,104218,2017_2
2017,3,2645409674.1194463,152625,2017_3
2017,4,1366461080.3800275,112385,2017_4
2017,5,1835941956.8797772,126205,2017_5
2017,6,1881215425.769686,127251,2017_6
2017,7,1224649018.8500273,84169,2017_7
2017,8,1360036738.5001092,115792,2017_8
2017,9,1748222339.3197048,124859,2017_9
2017,10,1854202527.249884,129244,2017_10
2017,11,1653815313.8000891,131081,2017_11
2017,12,2401130681.6697226,139178,2017_12
2018,1,1467502796.5500283,111859,2018_1
2018,2,1351923267.270116,117811,2018_2
2018,3,2659265319.43968,127890,2018_3
2018,4,1503303656.0500865,118046,2018_4
2018,5,1716205555.8001678,124342,2018_5
2018,6,1864174822.5997932,115830,2018_6
2018,7,1438312387.7300985,84900,2018_7
2018,8,1533363157.290151,112415,2018_8
2018,9,1690770109.790097,115771,2018_9
2018,10,1778146227.0800743,132375,2018_10
2018,11,1954823057.5497231,132198,2018_11
2018,12,2397904344.429704,129858,2018_12
2019,1,1381379543.6801124,109175,2019_1
2019,2,1564864401.9400108,105674,2019_2
2019,3,2823004423.9696965,126163,2019_3
2019,4,1765025956.5002048,127027,2019_4
2019,5,1749009986.539741,121260,2019_5
2019,6,2096089474.3399782,108466,2019_6
2019,7,1609752219.370153,108194,2019_7
2019,8,1504063956.1600883,111847,2019_8
2019,9,1723952641.7800503,127496,2019_9
2019,10,2013383884.809807,129187,2019_10
2019,11,1715332648.4900775,128099,2019_11
2019,12,3094127090.8705964,132871,2019_12
